context,primary_task,secondary_task
"Karpuzlu is a municipality and district of Aydın Province, Turkey. Its area is 286 km2, and its population is 10,590 (2022). It is  from the city of Aydın. It became a district centre after separation from Çine in 1990.

Karpuzlu is reached by turning off the road from Aydın to Çine. There is infrequent public transport (by minibus) from both towns to Karpuzlu, which can also be reached by the mountain road from Bodrum or Milas. This latter route is popular with tourists on ""jeep safaris"" coming to see the ruins of Alinda.

The town is partially situated on the slopes of a hill on the top of which can be seen the well-preserved ruins of the ancient acropolis of Alinda. 

The modern district of Karpuzlu covers part of the Çine plain that is part of the southern reaches of the fertile Menderes River (Maeander) valley. The main crops are cotton, corn and many other grains and vegetables. 

Karpuzlu (former Demircidere) itself is a very small town of 2,300 people.

Composition
There are 23 neighbourhoods in Karpuzlu District:

 Abak
 Akçaabat
 Bayraktepe
 Çobanisa
 Cumalar
 Ektirli
 Gölcük
 Güneyköy
 Hatıpkışla
 Işıklar
 Kovuk
 Meriçler
 Mutluca
 Ömerler
 Orta
 Ovapınarı
 Şenköy
 Tekeler
 Tütünlük
 Ulukonak
 Umcular
 Yahşiler
 Yeni

See also
 Alinda
 Gülkız Ürbül

References

External links 
 the municipality
 the district governorate

Populated places in Aydın Province
 
Districts of Aydın Province
Metropolitan district municipalities in Turkey","Analyze the sentiment of the following text and classify it as positive, negative, or neutral.",
"Crinodendron is a botanic genus with 8 species of flowering plants belonging to the family Elaeocarpaceae.  They are evergreen shrubs or small trees native to the forests of Chile.  They have narrow, leathery evergreen leaves and pendent bell-shaped flowers in red, pink or white. Cladanthus is a genus of plants in the family sunflower family, native to the Mediterranean region.",Answer the following question based on the context: Cladanthus and Crinodendron are both types of what?,
"HNoMS Ørnen was a Royal Norwegian Navy corvette.

Ørnen was commissioned 3 June 1833 and her first commander was capitaine Christian A. Bendz. The ship was used as a cadet-ship until she was refitted to serve as a lodging and guard ship in 1847.

Ørnen was scrapped in 1874.

Sources
Norwegian Navy history page

Corvettes of the Royal Norwegian Navy
Training ships of the Royal Norwegian Navy
Ships built in Horten",Provide a detailed analysis and understanding of the following text.,
"Mark Gardner may refer to:

Mark Gardner (baseball) (born 1962), former pitcher in Major League Baseball
Mark Gardner (inventor) (born 1955), American inventor
Mark Gardner (footballer) (1884–1949), Australian rules footballer
Mark Gardner (murderer) (1956–1999), murderer executed by the State of Arkansas
Mark Gardner (politician), politician serving in the Oregon House of Representatives

See also
Mark Gardener (born 1969), English rock musician
Mark Gardiner (born 1966), English footballer
Mark Gardiner (gamer) (born 1983), Scottish semi-professional video gamer","Identify and list all named entities (people, organizations, locations) in the following text.",
"Nanorana is a genus of dicroglossid frogs. They are found in Asia, from the Himalayan region of northern Pakistan and northern India, Nepal, and western China east to montane southern China and southeast to Myanmar, Thailand, Laos, and northern Vietnam. Common names of these frogs reflect the complex taxonomic history of the genus (see below) and include Yunnan slow frogs (or simply slow frogs) and High Himalaya frogs (for the now-synonymized genus Altirana).

Taxonomy
The taxonomy of true frogs and their allies has been subject to numerous changes during the last decade and is not yet fully settled. Nanorana in particular has seen big changes. As currently delineated, Nanorana is a quite large genus with 28 species, resulting from considering Chaparana, Paa, and Feirana as junior synonyms. Currently these taxa may be recognized as subgenera, but their delineation is not entirely settled and not all species have been assigned to subgenera. Note, however, that species at one point placed in these (sub)genera might currently be placed also in genera other than Nanorana (Quasipaa, Ombrana, and Allopaa).

Species
The following species are recognised in the genus Nanorana:

References

 
Dicroglossidae
Amphibian genera
Amphibians of Asia
Taxa named by Albert Günther",Categorize the following text into the most appropriate topic or genre.,
"Maitland is an electoral district of the Legislative Assembly in the Australian state of New South Wales.

The district encompasses most of the City of Maitland.

History
Maitland was created in 1904, replacing East Maitland and West Maitland. With the introduction of proportional representation in 1920, it absorbed parts of Upper Hunter, Singleton, Cessnock and Durham and elected three members.  With the end of proportional representation in 1927, Maitland was split into the single-member electorates of Maitland, Upper Hunter and Cessnock.

Members for Maitland

Election results

References

Maitland
Maitland, New South Wales
1904 establishments in Australia
Maitland",Rephrase the following text while preserving its original meaning.,
"Paxico is a city in Wabaunsee County, Kansas, United States.  As of the 2010 census, the city population was 221. Eskridge is a city in Wabaunsee County, Kansas, United States.  As of the 2010 census, the city population was 534. Wakarusa Township is a township in Douglas County, Kansas, USA.  As of the 2010 census, its population was 2,318.  It was named for the Wakarusa River which flows through Douglas County from Wabaunsee County to the Kansas River near Eudora. McFarland is a city in Wabaunsee County, Kansas, United States.  As of the 2010 census, the city population was 256. Alma is a city in and the county seat of Wabaunsee County, Kansas, United States.  As of the 2010 census, the city population was 832. Raymond A. Litke (1920-1986) was an American electronic engineer, the inventor of a practical wireless microphone, and the first to patent the wireless microphone.  He was born and raised on a farm near Alma, Kansas, but spent most of his adult life in San Jose, California. Lake Wabaunsee is a man-made lake in Wabaunsee County, Kansas.  Development of the site began in 1933, when the Kansas Emergency Relief Corporation established a work camp at the site.  Digging of the lake was taken over by the WPA in 1936.  Construction was completed in 1937 and the lake was purchased by the city of Eskridge. Harveyville is a city in Wabaunsee County, Kansas, United States.  As of the 2010 census, the city population was 236.  It is 8.5 mi northwest of the city of Burlingame. Wabaunsee County (standard abbreviation: WB) is a county located in the U.S. state of Kansas.  As of the 2010 census, the county population was 7,053.  Its county seat is Alma.  The county was created by the territorial legislature of Kansas Territory on March 25, 1859, and was named for a chief of the Potawatomi Indians. Maple Hill is a city in Wabaunsee County, Kansas, United States.  As of the 2010 census, the city population was 620.","Answer the following question based on the context: What is this city in Wabaunsee County, Kansas with a population of about 800 as of 2010 where Raymond A. Litke lived?",
"A cystidium (: cystidia) is a relatively large cell found on the sporocarp of a basidiomycete (for example, on the surface of a mushroom gill), often between clusters of basidia. Since cystidia have highly varied and distinct shapes that are often unique to a particular species or genus, they are a useful micromorphological characteristic in the identification of basidiomycetes. In general, the adaptive significance of cystidia is not well understood.

Classification

By position
Cystidia may occur on the edge of a lamella (or analogous hymenophoral structure) (cheilocystidia), on the face of a lamella (pleurocystidia), on the surface of the cap (dermatocystidia or pileocystidia), on the margin of the cap (circumcystidia) or on the stipe (caulocystidia).  Especially the pleurocystidia and cheilocystidia are important for identification within many genera.  Sometimes the cheilocystidia give the gill edge a distinct colour which is visible to the naked eye or with a hand lens.

By morphology
Chrysocystidia are cystidia whose contents contain a distinct refractive yellow body, that becomes more deeply yellow when exposed to ammonia or other alkaline compounds. Chrysocystidia are characteristic of many (though not all) members of the agaric family Strophariaceae.

Gloeocystidia have an oily or granular appearance under the microscope.  Like gloeohyphae, they may be yellowish or clear (hyaline) and can sometimes selectively be coloured by sulphovanillin or other reagents. Metuloids are thick-walled cystidia with an apex having any of several distinct shapes.

References

External links
 BCERN Glossary: Cystidia
 ""Using a Microscope: Basidia and Cystidia"" by Michael Kuo. MushroomExpert.com
 Wild Mushrooms from Tokyo: Inocybe nodulosospora – Includes very good photograph of cystidia.

Fungal morphology and anatomy",Summarize the following text in 2-3 sentences.,
"The Action of 18 June 1793 was the first decisive and one of the most celebrated encounters between British and French frigates during the French Revolutionary Wars.  The action occurred off Start Point in Devon, when the British frigate HMS ""Nymphe"" encountered and chased the French frigate ""Cléopâtre"".  During the previous month, ""Cléopâtre"" and another frigate, ""Sémillante"", had been successfully raiding British merchant shipping in the English Channel and Eastern Atlantic from their base at Cherbourg.  In response, the British frigates ""Nymphe"" and HMS ""Venus"" had been ordered to intercept and defeat the French frigates and on 27 May ""Venus"" and ""Sémillante"" fought an inconclusive engagement off Cape Finisterre. Merchant of Venus is a board game, published in 1988 by Avalon Hill, set in an unexplored part of the galaxy during a reawakening of galactic civilization.  Players move around the board as traders discovering long forgotten pockets of civilization and buying and selling goods.  The game can be played by one to six players.  In tournaments it is usually played by four players.  The solitaire version, which relies heavily on combat with a militaristic race, has different game mechanics. William Crabtree (1610–1644) was an astronomer, mathematician, and merchant from Broughton, then in the Hundred of Salford, Lancashire, England.  He was one of only two people to observe and record the first predicted transit of Venus in 1639 . Zingo!  is a game inspired by Bingo released by ThinkFun in 2002. John Ellis FRS (  1710 – 15 October 1776) was a British linen merchant and naturalist.  Ellis was the first to have a published written description of the Venus flytrap and its botanical name.",Answer the following question based on the context: Zingo! and Merchant of Venus are both a what?,
"Oji, Ōji or OJI may refer to:

People
 Chibuzor Oji (born 1977), stage name Faze, Nigerian musician and actor
 Geoffrey Oji, Nigerian singer and songwriter, winner of the seventh season of Project Fame West Africa
 Megumi Ōji (born 1975), Japanese actress
 Sam Oji (1985–2021), English footballer
 Oji Umozurike, Nigerian law professor, activist and former chairman of the African Commission on Human and Peoples' Rights
 Tshi, also called Oji, a group of tribes in Ghana

Places
 Ōji, Nara, a town in Nara Prefecture, Japan
 Ōji Station (Nara), a railway station 
 Ōji Station (Tokyo), a railway station 
 O-J-I, also called Oji, a mountain in Baxter State Park, Maine, United States

Other uses
 Oji Paper Company, a Japanese paper manufacturer
 Open Java Interface
 Ọjị (Igbo for the kola nut), an important component of Igbo culture
 Mochizō Ōji, a main character in Tamako Market, a Japanese anime television series
 Gohei and Michiko Ōji, Mochizō's parents",Categorize the following text into the most appropriate topic or genre.,
"Bandits vs. Samurai Squadron (雲霧仁左衛門 , Kumokiri Nizaemon ) is a 1978 Japanese film directed by Hideo Gosha. The Geisha (陽暉楼 ) is a 1983 Japanese film directed by Hideo Gosha. The Wolves (出所祝い , Shussho iwai ) (“Celebration of a Prisoners Release”) is a 1971 Japanese crime film directed by Hideo Gosha. Onimasa (鬼龍院花子の生涯 , Kiryūin hanako no shōgai ) is a 1982 Japanese film directed by Hideo Gosha.  It was Japan's submission to the 55th Academy Awards for the Academy Award for Best Foreign Language Film, but was not accepted as a nominee. Sword of the Beast (獣の剣 , ""Kedamono no ken"" , also called Samurai Gold Seekers) is a 1965 jidaigeki film co-written and directed by Hideo Gosha.  Set in 1857 at the end of the Tokugawa Shogunate, the story follows a fugitive samurai who's killed a counselor in his clan, to a mountain where he meets another samurai who is poaching gold. Three Outlaw Samurai (三匹の侍/Sanbiki no Samurai) is a 1964 Japanese ""chambara"" film by director Hideo Gosha. Dallas M. Fitzgerald (born August 13, 1876 in La Grange, Kentucky, US; died: May 9, 1940 (age 63) in Los Angeles) was an American motion picture director and producer, primarily in the silent era.  He is also known as the writer of the Frank Buck film serial ""Jungle Menace"". Hideo Gosha (五社 英雄 , ""Gosha Hideo"" , February 26, 1929 – August 30, 1992) was a Japanese film director. Goyokin (御用金 , ""Goyōkin"" , lit.  Official Gold) is a 1969 ""jidaigeki"" film directed by Hideo Gosha.  Set during the late Tokugawa era, the story follows a reclusive ronin who is trying to atone for past transgressions. The Oil-Hell Murder (女殺油地獄 , Onna goroshi abura no jigoku ) is a 1992 Japanese film directed by Hideo Gosha.  It was Japan's submission to the 65th Academy Awards for the Academy Award for Best Foreign Language Film, but was not accepted as a nominee.","Answer the following question based on the context: Who has more scope of proffesion, Hideo Gosha or Dallas M. Fitzgerald?",
"Southill, Weymouth is a modern suburb of Weymouth, Dorset, England, and lies about 2 miles (3 km) north of the town centre. It was developed on the western shore of Radipole Lake in several phases from the 1960s onwards.

At its centre lay a post office, confusingly and wrongly named South Hill Post Office, but this closed in January 2007. There is a small shopping centre, a community centre, a church and a pub, the John Gregory.  A primary school was built to serve the new estate in the 1970s.

Southill is part of the parish of Radipole, the hill itself coming between Radipole and Weymouth..

Transportation 
The village does not have any bus services as its only service was withdrawn in the 2010s.

References

Radipole & Southill Local Community & History
Weymouth-Dorset.co.uk
Southill Community Area

Villages in Dorset
Geography of Weymouth, Dorset",Read the following text and determine if the claims made are factually accurate based on the context provided.,
"Mafizur Rahman (born 10 November 1978) is a former Bangladeshi cricketer who played in four One Day Internationals in 1997.

1978 births
Living people
Bangladesh One Day International cricketers
Bangladeshi cricketers
People from Madaripur District
Cricketers from Dhaka Division","Identify and list all named entities (people, organizations, locations) in the following text.",
"Kucura (; ; ) is a village in Serbia, in the Autonomous Province of Vojvodina. It is located in the municipality of Vrbas, in the South Bačka District. The village is ethnically mixed and has a population of 4,663 (2002 census).

Ethnic groups

1971
According to the 1971 census, ethnic Rusyns comprised 60% of the population of the village.

2002
According to the 2002 census, the population of the village include:
 2,200 (47.18%) Rusyns
 1,808 (38.77%) Serbs
 352 (7.55%) Hungarians
 others.

Historical population

1961: 4,881
1971: 4,655
1981: 4,687
1991: 4,713

Notable residents
Ljubomir Fejsa

Gallery

See also
List of places in Serbia
List of cities, towns and villages in Vojvodina

References
Slobodan Ćurčić, Broj stanovnika Vojvodine, Novi Sad, 1996.

External links 

KucuraOnline
Kucura location map

Places in Bačka
South Bačka District
Pannonian Rusyns",Rephrase the following text while preserving its original meaning.,
"Kreuzau is a municipality in the district of Düren in the state of North Rhine-Westphalia, Germany. It is located on the river Rur, approx. 5 km south of Düren.

Geography

Neighbouring communities 
Kreuzau is surrounded by the following settlements, listed clockwise beginning in the north: the county town of Düren and the municipalities of Nörvenich, Vettweiß, Nideggen and Hürtgenwald, all in the county of Düren.

Municipal subdivisions 
The municipality Kreuzau includes the following civil parishes (Ortsteil):
 Bogheim
 Boich
 Drove
 Kreuzau (incl. Schneidhausen) with 5,150 inhabitants on 31 October 2015
 Leversbach
 Obermaubach (incl. Schlagstein)
 Stockheim
 Thum
 Üdingen
 Untermaubach (incl. Bilstein)
 Winden (incl. Bergheim and Langenbroich)

In addition there was the now extinct village of Hemgenberg.

Twin towns
Kreuzau is twinned with:

  Obervellach, Austria
  Plancoët, France

References

Düren (district)",Categorize the following text into the most appropriate topic or genre.,
"Nannorrhops ritchiana, the Mazari palm, is the sole species in the genus Nannorrhops in the palm family Arecaceae.

Distribution
It is native to southwestern Asia, in the historical region of Balochistan, from the southeast of the Arabian Peninsula east through Iran and Afghanistan to Pakistan, growing at altitudes of up to 1,600 m.

Description
It is a shrub-like clumping palm, with several stems growing from a single base. The stems grow slowly and often tightly together, reaching  or more tall. It is a fan palm (Arecaceae tribe Corypheae), with the leaves with a long, smooth (unspined) petiole terminating in a rounded fan of 20–30 leaflets,  long, with a distinct glaucous blue-green to grey-green colour.

The flowers are borne in tall, open clusters up to  long at the top of the stems; it is usually dioecious with male and female flowers on separate plants. The fruit is a brown drupe. The individual stems are monocarpic, dying back to the ground after flowering, with the plant continuing growth from basal sprouts.

Cultivation 
It is one of the hardier palms, tolerating winter frosts down to about  (possibly even ), though it requires very hot summers for good growth. It can be grown in USDA zones 6-11. It is occasionally grown as an ornamental plant in southern Europe and southern North America, but is not widely cultivated.

References

External links

Fairchild Guide to Palms: Nannorrhops
PACSOA: Nannorrhops
Scanpalm Nannorrhops

Coryphoideae
Monotypic Arecaceae genera
Flora of Pakistan
Flora of Iran
Flora of Afghanistan
Flora of the Arabian Peninsula
Dioecious plants",Continue or complete the following text in a coherent manner.,
"Americhem, Inc. is a global masterbatch manufacturer that specializes in custom color and additive masterbatch solutions with its global headquarters in Cuyahoga Falls, Ohio.  The company manufactures a diverse range of single pigment dispersions, color and additive concentrates and custom compounds.  A sister company, Infinity LTL Engineered Compounds, manufactures custom compounded engineered thermoplastics, and has locations in Swedesboro, New Jersey and Morrisville, Pennsylvania.  Vi-Chem, acquired in 2016, is a producer of PVC and elastomeric compounds. Lifes Rich Pageant is the fourth studio album by the American alternative rock band R.E.M., released in 1986.  R.E.M. chose Don Gehman to produce the album, which was recorded at John Mellencamp's Belmont Mall Studios in Belmont, Indiana.  This was the only album the band recorded with Gehman, who moved them from the more obscure and dense sound of their earlier albums to an accessible, pop rock-influenced quality.  The album was well-received critically. ""Cuyahoga"" is a song by R.E.M. from their 1986 album ""Lifes Rich Pageant"".  It was written primarily by R.E.M. bassist Mike Mills and drummer Bill Berry.  It is one of R.E.M.'s earliest environmentally conscious songs, along with the album's lead single, ""Fall on Me"".","Answer the following question based on the context: Who was the producer of ""cuyahoga""?",
"The Twelve Grapes (Sp. , ""the twelve grapes of luck"") is a Spanish tradition that consists of eating a grape with each of the twelve clock bell strikes at midnight of December 31 to welcome the New Year. Each grape and clock bell strike represents each of the coming twelve months.

This tradition dates back from at least 1895 but was consolidated among the population in 1909. In December of that year, some Alicantese vine growers spread this custom to better sell huge numbers of grapes from an excellent harvest. According to the tradition, eating the Twelve Grapes leads to a year of good luck and prosperity. In some areas, this practice was also believed to ward off witches and evil in general, although today it is mostly followed as a tradition to celebrate and welcome the New Year.

There are two types of places where people gather to eat the grapes: at home with family members after Nochevieja dinner, or in the main squares around the country, with the most famous being the Puerta del Sol in Madrid (and where this tradition started). The Twelve Grapes are closely related to the time ball and clock of the Royal House of the Post Office in Puerta del Sol, from where the change of year is broadcast on all major national television networks and radio stations, with television broadcasting beginning in 1962 on Televisión Española.

The Twelve Grapes have also been adopted in places with a broad cultural relation with Spain and Latin American countries, as well as Hispanic communities in countries such as the United States. This tradition is part of the Hispanic Christmas festivities.

References

External links
 

New Year celebrations
Spanish traditions
Viticulture",Summarize the following text in 2-3 sentences.,
"Ferocactus is a genus of large barrel-shaped cacti, mostly with large spines and small flowers.  There are about 30 species included in the genus.  They are found in the southwestern United States and northwestern Mexico. Ferocactus fordii (ford barrel cactus) is a species of flowering plant in the family Cactaceae, native to Baja California in Mexico.  It is spherical, growing to 50 cm in diameter, with whitish-grey radial spines and solitary flowers of a deep rose pink, 4 cm in diameter. Bellium is a genus of flowering plants in the daisy family, Asteraceae, native to the Mediterranean region.","Answer the following question based on the context: Which plant, Ferocactus or Bellium, is native to the Mediterreanean?",
"Art Good is an American radio personality who helped make smooth jazz popular during the 1980s through his program JazzTrax.

Before becoming a disk jockey, he contemplated becoming a minister. In 1981, while he was Program Director for KIFM, a struggling adult contemporary station in San Diego, he began an evening program of jazz-tinged instrumentals entitled Lites Out San Diego. By 1987, KIFM had changed its format to contemporary jazz. Good left KIFM for a brief period to host a program on competitor KSWV 102.9 but returned when the station discontinued its smooth jazz format.

In 1987, he founded the Catalina JazzTrax Festival on Santa Catalina Island in California. That festival hosted Spyro Gyra, Al Di Meola, Earl Klugh, and Andy Narell.

He was given an Industry Achievement Award at the National Smooth Jazz Awards in San Diego. His mellow-toned, soothing voice has been characterized as the quintessential Jazz DJ voice.

References

External links
 JazzTrax

American radio personalities
Radio personalities from San Diego
Year of birth missing (living people)
Living people","Analyze the sentiment of the following text and classify it as positive, negative, or neutral.",
"Heterotheca, (common names goldenasters, camphorweed, or telegraph weed) are North American plants in the sunflower family. Fennel (""Foeniculum vulgare"") is a flowering plant species in the carrot family.  It is a hardy, perennial herb with yellow flowers and feathery leaves.  It is indigenous to the shores of the Mediterranean but has become widely naturalized in many parts of the world, especially on dry soils near the sea-coast and on riverbanks.",Answer the following question based on the context: Are Heterotheca and Fennelboth flowering plants?,
"Agrupación Deportiva Alcorcón SAD is a Spanish football team based in Alcorcón, in the autonomous community of Madrid.  Founded in 1971, it currently plays in ""Segunda División"", holding home matches at the Municipal de Santo Domingo, with a 6,000 seat capacity. Daniel 'Dani' Sotres Castañeda (born 21 May 1993) is a Spanish footballer who plays for Celta de Vigo B as a goalkeeper. Daniel 'Dani' Jiménez López (born 5 March 1990) is a Spanish footballer who plays for AD Alcorcón as a goalkeeper. Daniel 'Dani' Mallo Castro (born 25 January 1979) is a Spanish professional footballer who plays for CE L'Hospitalet as a goalkeeper. Daniel 'Dani' Hernández Santos (born 21 October 1985) is a Venezuelan professional footballer who plays for Spanish club CD Tenerife as a goalkeeper. Daniel 'Dani' Erencia Moreno (born 7 January 1991 in Terrassa, Barcelona, Catalonia) is a Spanish professional footballer who plays as a central defender. Daniel 'Dani' Giménez Hernández (born 30 July 1983) is a Spanish footballer who plays for Real Betis as a goalkeeper. Daniel 'Dani' Miguélez Martínez (born 23 April 1985 in Cádiz, Andalusia) is a Spanish footballer who plays as a goalkeeper. Daniel 'Dani' Estrada Agirrezabalaga (born 3 January 1987) is a Spanish footballer who plays mainly as a right midfielder for Real Unión. Daniel 'Dani' López Menéndez (born 7 October 1983 in Oviedo, Asturias) is a Spanish footballer who plays for UP Langreo as a left back.","Answer the following question based on the context: Daniel 'Dani' Jimenez plays as a goalkeeper for which ""Segunda Division"" team?",
"Édith Piaf (] ; 19 December 1915 – 10 October 1963; ""nee"" Édith Giovanna Gassion) was a French cabaret singer, songwriter, and actress who became widely regarded as France's national chanteuse, as well as being one of France's greatest international stars. Amour(s) is the seventh studio album by French-Belgian singer Viktor Lazlo, which was mainly released in Germany, Austria, Switzerland and Japan, while another album ""Loin de Paname"", consisting of chansons, was released in France that same year. Loin de Paname is the sixth studio album by French-Belgian singer Viktor Lazlo.  The album consists of French chansons, such as ""Les mots d'amour"" by Édith Piaf. Viktor Lazlo is the self-titled second studio album by French-Belgian singer Viktor Lazlo. My Delicious Poisons is the fourth studio album by French-Belgian singer Viktor Lazlo.  A French version of the album was recorded and released in France, entitled ""Mes Poisons Délicieux"".  The album was not as successful as its predecessors as it only entered the Dutch album charts, peaking at No. 71. Sweet, Soft N' Lazy - The Very Best Of is the first official best-of album by French-Belgian singer Viktor Lazlo. She is the first studio album by French-Belgian singer Viktor Lazlo. Hot & Soul is the third studio album by French-Belgian singer Viktor Lazlo.  A French version of the album was recorded and released in France, entitled ""Club Desert"". Sweet, Soft N' Lazy (The Exclusive Collection) is the first compilation album by French-Belgian singer Viktor Lazlo. Back To Front is the fifth studio album by French-Belgian singer Viktor Lazlo.  A French version of the album was recorded and released in France, entitled ""Verso"".  The album was her first album not to be released on Polydor Records but on East/West Records.",Answer the following question based on the context: Which album by singer Viktor Lazlo consists of French chansons by one of France's greatest international stars widely regarded as France's national chanteuse?,
"Macdonaldtown is an urban place in Sydney, in the state of New South Wales, Australia. It is 4 kilometres south-west of the Sydney central business district, adjacent to the suburbs of Newtown, Eveleigh and Erskineville. Macdonaldtown is part of the local government area of the City of Sydney and informally part of the region of the Inner West. The locality is around Macdonaldtown railway station, on the Inner West line of the Sydney Trains network.

History
The suburb of Macdonaldtown was named for Stephen Macdonald, who owned a property in the south of Erskineville. It was advertised with the name ""Macdonald Town"". The whole suburb of Macdonald was incorporated as a local government area in 1872 and was renamed as Erskineville in 1893.

References

Sources
The Book of Sydney Suburbs, Compiled by Frances Pollen, Angus & Robertson Publishers, 1990, Published in Australia

External links 
 Macdonaldtown Geographical Names Board of New South Wales

Sydney localities","Identify and list all named entities (people, organizations, locations) in the following text.",
"Matt Lucena (born August 4, 1969) is a former professional tennis player from the United States.  He won the mixed doubles title at the 1995 US Open. The 2013 International German Open (also known as the bet–at–home Open – German Tennis Championships 2013 for sponsorship reasons) was a men's tennis tournament played on outdoor red clay courts.  It was the 107th edition of the event known that year as the International German Open and was part of the ATP World Tour 500 series of the 2013 ATP World Tour.  It took place at the Am Rothenbaum in Hamburg, Germany, from 14 July through 22 July 2013.  Twelfth-seeded Fabio Fognini won the singles title. Fabio Fognini was the defending champion but decided not to participate. <br> Fabio Fognini and Robert Lindstedt were the defending champions, but chose not to participate this year. Fabio Fognini (] ; born 24 May 1987) is an Italian professional tennis player who is currently ranked world No. 29 in men's singles by the Association of Tennis Professionals (ATP) and the current Italian No. 1.  His career-high singles ranking is world No. 13, achieved in March 2014, and world No. 7 in doubles, achieved in July 2015.  Fognini's most successful surface is red clay, upon which he won his four ATP singles titles in Stuttgart, Hamburg, Viña del Mar and Umag, reached the quarterfinals of the 2011 French Open and the semifinals of the 2013 Monte-Carlo Masters.  Together with Simone Bolelli, Fognini won the 2015 Australian Open doubles event, becoming the first all Italian men's pair to win a Grand Slam title in the Open era. Fabio Fognini was the defender of title; however, he chose to not participate this year. Fabio Fognini was the defending champion, but chose not to play. Fabio Fognini chose to not defend his 2009 title. Thomaz Bellucci was the defending champion, but lost to Fabio Fognini in the quarterfinals. Fabio Fognini was the defending champion, but lost in the semifinals to Roberto Bautista Agut. <br>","Answer the following question based on the context: Matt Lucena and Fabio Fognini, have which mutual occupation?",
"Bozhou () is a prefecture-level city in northwestern Anhui, China.  It borders Huaibei to the northeast, Bengbu to the southeast, Huainan to the south, Fuyang to the southwest, and Henan to the north.  Its population was 4,850,657 at the 2010 census, of whom 1,409,436 lived in the built-up area made of Qiaocheng urban district, even though the county remains largely rural. Xuanwei (Chinese: 宣威; Pinyin: Xuānwēi) is a county-level city, under the jurisdiction of Qujing, in Yunnan Province, China.","Answer the following question based on the context: Bozhou and Xuanwei, is in which country?",
"A student leader is any student who takes on the responsibility of spreading knowledge through inspiration, tutoring, campaigns etc.
A student leader strives to change the world by starting with their own community.

Position details
Student leadership positions are often made available through an application process. This process varies from school to school and position to position, some being highly selective, while others are relatively easy to fill. Some student leadership positions are unpaid, while others receive an hourly wage for their work. Many positions that have odd hours or unclear work times will receive a stipend rather than an hourly wage. This is often the case for resident assistants, members of student government, and student representatives on government boards or panels.

In a broader sense, a student leader can take up the responsibility of their community, their city, their country or the world and work towards it with or without the help of a mentor.

Although most student positions on government panels are advisory, the state boards of education of California and Massachusetts include student members with full voting authority.

Examples
A student leader could be any of the following roles.

Primary or secondary school 
 Member of student government, student council, or ASB.
 Teachers aide
 Peer mentor
 Member of any number of student clubs or organizations
 Peer-mediated instruction

School
 Resident Assistant
 Member of student government
 Member of Residence Hall Association or NACURH or NRHH
 Member of incoming freshmen orientation team
 Student assistant or employee
 Member of any number of student clubs or organizations
 Peer-mediated instruction

See also
 Akhil Bharatiya Vidyarthi Parishad

References

Student politics",Read the following text and determine if the claims made are factually accurate based on the context provided.,
"Nathan Eglington OAM (born 2 December 1980 in Murwillumbah, New South Wales) is a field hockey midfielder and striker from Australia, who was a member of the team that won the golden medal at the 2004 Summer Olympics in Athens.

He is nicknamed Eggy, and played domestic hockey for the Queensland Blades in his native country Australia, with whom he won the national title in 2003, 2004, 2006 and 2007. Eglington made his international debut in 2002, in a test series game against South Korea in Adelaide, scoring twice.

Eglington played 140 times for Australia scoring 50 goals before major injury prior to the 2008 Beijing Olympics, forced retirement from international competition at the age of 27 years.

He is married to fellow former Australian representative, Lisa Eglington. The pair live in Tweed Heads with their two children.

References

External links
 
 Profile on Hockey Australia

1980 births
Australian male field hockey players
Male field hockey forwards
Male field hockey midfielders
Commonwealth Games gold medallists for Australia
Field hockey players at the 2004 Summer Olympics
Field hockey players at the 2006 Commonwealth Games
2006 Men's Hockey World Cup players
Living people
Olympic field hockey players for Australia
Olympic gold medalists for Australia
Olympic medalists in field hockey
People from the Northern Rivers
Recipients of the Medal of the Order of Australia
Medalists at the 2004 Summer Olympics
Commonwealth Games medallists in field hockey
Sportsmen from New South Wales
Medallists at the 2006 Commonwealth Games",Summarize the following text in 2-3 sentences.,
"Cydista is a genus that consists of more than twenty species of lowland, showy, evergreen, ornamental shrubs and woody vines, ranging from central and southern Mexico to Paraguay and eastern Brazil.  The genus is characterized by the lack of a nectariferous disk and is associated with the multiple-bang flowering syndrome.  All species are lianas with clusters of funnelform flowers, bloomig twice a year in spring and fall.  The flowers start of purple and change to a lighter shade of lavender with age, then fading to almost white, followed by linear oblong fruits and winged seeds.  The plants are multi-stemmed with opposite, oval, glossy, dark-green leaves and 2 leaflets, and climb by tendrils arise from the leaf axils.  Leaves smell like garlic when crushed. Pachystegia is a genus of shrubs in the daisy family described as a genus in 1925.","Answer the following question based on the context: Cydista and Pachystegia, are related to what?",
